item,group1,var,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
11,1,ID01_Session01,1,172,5157.46511627907,11927.9640451308,289,1734.83333333333,301.7091,62,53766,53704,2.63770559142211,5.93723236674224,909.498731930582
12,2,ID01_Session02,1,199,4393.83417085427,10833.1438304003,156,1490.49689440994,115.6428,47,78171,78124,3.47300030982840,14.0376287351356,767.941205252277
13,3,ID01_Session03,1,113,7978.37168141593,15049.4869153135,125,4125.41758241758,93.4038,46,58187,58141,2.05919047266842,3.14189967467608,1415.73663997013
14,4,ID01_Session04,1,174,6768.82183908046,14446.0747872902,741.5,2951.09285714286,891.7839,93,97140,97047,3.13602197739248,11.2835509303560,1095.15410336393
15,5,ID01_Session05,1,174,4615.41954022988,11185.9175045387,351.5,1885.11428571429,359.5305,0,100425,100425,4.76841392610362,31.351409375124,848.002217582576
16,6,ID01_Session06,1,102,8825.13725490196,16235.2490008496,234.5,5054.5487804878,255.7485,47,80813,80766,2.00783081658406,3.63940178481900,1607.52919078058
17,7,ID01_Session07,1,171,5290.0350877193,10973.0970762962,141,2300.21167883212,69.6822,62,58781,58719,2.52497550228939,6.07317293422149,839.133706197137
18,8,ID01_Session08,1,157,2622.86624203822,5483.47805719955,125,1207.24409448819,45.9606,0,30297,30297,2.65397377291636,7.17046025141654,437.629191871696
19,9,ID01_Session09,1,101,6955.22772277228,12899.8316437705,141,3781.53086419753,69.6822,78,59938,59860,2.02867315443272,3.39250097758383,1283.58122329993
110,10,ID01_Session10,1,98,4909.69387755102,11714.2136664331,125,1804.9125,68.9409,47,55337,55290,3.02758561680332,8.49531060559965,1183.31427425757
111,11,ID02_Session01,1,104,2605.625,8085.5233142807,141,716.559523809524,23.7216,78,58921,58843,5.15203733700841,29.6252688248241,792.850791483205
112,12,ID02_Session02,1,79,9851.37974683544,16773.9070837400,156,6352.49230769231,91.9212,47,58313,58266,1.61793253103157,1.27131274464713,1887.21199111732
113,13,ID02_Session03,1,96,1561.61458333333,4305.61211827636,141,375.230769230769,46.7019,47,27751,27704,3.74527288938341,15.5430682457072,439.439696671704
114,14,ID02_Session04,1,98,1790.22448979592,5960.40219450154,141,254.3,45.9606,62,35126,35064,4.12377089499252,16.6898163403904,602.091544333031
115,15,ID02_Session05,1,109,1306.04587155963,5677.93857412882,125,165.719101123595,45.9606,0,51688,51688,7.10006865510958,56.2282447876678,543.847881217169
116,16,ID02_Session06,1,94,8671.71276595745,16191.6505694732,156.5,4458.86842105263,92.6625,78,59925,59847,2.07286949268464,3.11023367789555,1670.04124093529
117,17,ID02_Session07,1,135,4491.54814814815,12043.0914819892,141,1039.62385321101,47.4432,47,59985,59938,3.17208539836188,9.67151831226556,1036.50428325770
118,18,ID02_Session08,1,21,17229.0952380952,21806.0118290914,5250,14287.7058823529,7644.2856,78,59718,59640,0.824283682049927,-0.998435444438188,4758.46189580543
119,19,ID02_Session09,1,152,2243.78947368421,8345.40656430812,125,163.098360655738,45.9606,63,48048,47985,4.37800114239028,18.5999814153456,676.901856388029
120,20,ID02_Session10,1,117,9513.33333333333,16293.5407563645,141,5778.12631578947,69.6822,78,59859,59781,1.75295171351448,1.96218756412328,1506.33837579319
121,21,ID03_Session01,1,91,12372.7802197802,18168.4598551092,422,8888.13698630137,440.3322,109,59766,59657,1.28798921838608,0.293570018828463,1904.57209727019
122,22,ID03_Session02,1,109,11294.9908256881,16638.0019630961,297,8186.5393258427,277.2462,94,58472,58378,1.37825154467932,0.690336343799352,1593.63156138145
123,23,ID03_Session03,1,90,12421.1444444444,17492.4860308848,617,8975.61111111111,775.3998,78,59610,59532,1.26035700577766,0.386808113293124,1843.86992654248
124,24,ID03_Session05,1,71,18795.6619718310,21449.4723584412,5734,16229.7192982456,8385.5856,47,59813,59766,0.720295962077896,-1.05846392633974,2545.58403729341
125,25,ID03_Session06,1,77,15015.3896103896,19228.7957728122,2594,12238.1428571429,3682.7784,93,59986,59893,1.01721782359126,-0.448310633234868,2191.32465089433
126,26,ID03_Session07,1,88,13734.25,17335.0133645918,4133,11044.3194444444,5965.9824,78,57361,57283,1.06483702298412,-0.150790454882248,1847.91863368252
127,27,ID03_Session08,1,80,14316.3,18790.0961365357,4679.5,11033.90625,6775.482,94,59955,59861,1.14139810467520,-0.121979336995633,2100.79661325250
128,28,ID03_Session09,1,78,14755.7179487179,19693.8956676622,3023.5,11826.484375,4285.4553,109,59501,59392,1.03345450725068,-0.49785493636804,2229.89457773337
129,29,ID03_Session10,1,66,22624.0151515152,21889.5760984309,14273.5,21123.9814814815,20954.3271,93,59797,59704,0.425010292324894,-1.44866779746005,2694.42055886143
130,30,ID03_Session11,1,66,20033.5303030303,21622.3591584265,11117.5,17939.4444444444,16319.7195,78,59890,59812,0.648132524803145,-1.13367646765932,2661.52842730135
131,31,ID04_Session01,1,130,5732.3,10384.2295781901,851.5,3231.93269230769,1146.7911,47,51312,51265,2.61480885774669,7.21012315470479,910.757182587688
132,32,ID04_Session02,1,110,5070.67272727273,9724.17969098433,633.5,2480.34090909091,823.5843,62,51610,51548,2.60130333487591,6.65656260481257,927.164154645533
133,33,ID04_Session03,1,120,4416.24166666667,9650.00039882947,469,1739.77083333333,601.9356,32,54407,54375,2.92713867950738,8.68785591872097,880.920483062125
134,34,ID04_Session04,1,214,2355.70560747664,6643.40349253072,125,654.46511627907,69.6822,46,59329,59283,4.81728728030786,29.3130133375831,454.13371350405
135,35,ID04_Session06,1,121,4703.73553719008,9542.0091156323,578,2283.10309278350,741.3,46,51470,51424,2.89800274374697,8.80330607414257,867.455374148391
136,36,ID04_Session08,1,70,3750.08571428571,9873.25169516228,125,1142.28571428571,92.6625,62,55533,55471,3.67936919481105,13.8625293432550,1180.07928932173
137,37,ID04_Session09,1,125,5492.856,10119.4065845907,781,2991.70297029703,1020.0288,47,51272,51225,2.41191764173852,5.74934441330564,905.107240604153
138,38,ID04_Session10,1,185,3596.8,8619.41040541385,266,1533.44966442953,323.2068,46,59986,59940,4.26951210907773,20.2333494547437,633.711656388778
139,39,ID04_Session11,1,32,7425.34375,10758.7855760570,734.5,5383.46153846154,1019.2875,47,35125,35078,1.35503432926317,0.560881898048121,1901.90255954048
140,40,ID04_Session12,1,105,4591,10995.9219188822,172,1496.6,209.0466,0,54487,54487,2.91670255364389,8.02758075317638,1073.09210027735
141,41,ID05_Session01,1,108,10960.4907407407,18306.6373936740,187,7035.27272727273,114.1602,93,59922,59829,1.62667235662579,1.22624081506545,1761.55700453243
142,42,ID05_Session02,1,20,5273.4,7877.83036120987,508,3777.375,626.3985,78,32125,32047,1.94650099352896,3.93742893710554,1761.5364202877
143,43,ID05_Session03,1,95,11636.7368421053,17587.4680360583,375,8032.61038961039,438.8496,62,59988,59926,1.43810618469925,0.79494763776274,1804.43614729854
144,44,ID05_Session04,1,162,6321.45679012346,14483.7481332977,172,2193.38461538462,69.6822,0,59672,59672,2.65363474356182,6.02002760249368,1137.95072467253
145,45,ID05_Session05,1,23,10000,16264.4223523169,266,6523.05263157895,255.0072,94,56250,56156,1.64312765640149,1.60080228697339,3391.36649677015
146,46,ID05_Session06,1,74,13133.1081081081,17933.6393502355,3101,9783.23333333333,4458.1782,63,59937,59874,1.28320683172905,0.368290752691922,2084.74322854812
147,47,ID05_Session07,1,145,7780.57931034483,15351.4272923422,172,3774.47863247863,93.4038,16,59313,59297,2.15779661506813,3.54701361208119,1274.86664593236
148,48,ID05_Session08,1,114,11361.0614035088,18553.4687972930,203,7564.70652173913,185.325,63,59266,59203,1.49724481244799,0.651961236221693,1737.69156311683
149,49,ID05_Session09,1,67,13678.3880597015,17474.4599994212,6407,10876.0181818182,9337.4148,0,57048,57048,1.15800156561305,0.0526116567495625,2134.84506855577
150,50,ID05_Session10,1,159,7119.74842767296,13814.0357438095,203,3536.39534883721,139.3644,31,56855,56824,2.27057563195264,4.25060535076423,1095.52429517953
151,51,ID06_Session01,1,91,11051.8901098901,16368.0845912950,1672,7573.01369863014,2363.2644,47,58094,58047,1.50083862711934,1.14439404239923,1715.84148832363
152,52,ID06_Session02,1,80,10424.7,16331.3572252968,515.5,6911.046875,683.4786,47,59736,59689,1.53524495375105,1.16909382122405,1825.90124602980
153,53,ID06_Session03,1,117,8596.4358974359,14363.750587422,672,5275.73684210526,902.9034,31,59078,59047,1.86553698829586,2.52852103029277,1327.92921156221
154,54,ID06_Session04,1,156,4990.97435897436,9630.57810072568,141,2638.07142857143,117.1254,62,59627,59565,2.81250233362346,9.18781165474314,771.063345672453
155,55,ID06_Session05,1,116,7180.58620689655,12483.9303190099,125,4297.55319148936,69.6822,47,56683,56636,1.89547674578149,2.86535541741837,1159.10383118365
156,56,ID06_Session06,1,139,7439.05755395683,11894.9997921242,797,4882.65486725664,1089.711,15,55155,55140,1.92427576907017,3.28734012070451,1008.92071422253
157,57,ID06_Session07,1,124,5629.25,11598.5423310554,148.5,2528.04,126.7623,31,59282,59251,2.77069540106463,7.6868694282405,1041.57984921977
158,58,ID06_Session08,1,96,6047.55208333333,12121.8594056312,156,2987.37179487179,115.6428,0,53206,53206,2.30026955181377,4.62022450782288,1237.18209489806
159,59,ID06_Session09,1,125,7388.472,14344.7795093051,140,3762.63366336634,115.6428,15,59514,59499,2.14116690642469,3.66569769793964,1283.03608420209
160,60,ID06_Session11,1,29,10959.7931034483,15790.6729870591,531,8683.24,717.5784,47,59111,59064,1.33418688861896,0.96814184912071,2932.25436037517
161,61,ID07_Session01,1,23,11142.6956521739,16284.1613495356,140,8590.47368421053,68.1996,79,49047,48968,1.12712295608952,-0.161256640499106,3395.48236220927
162,62,ID07_Session02,1,114,7443.64912280702,14059.6924165946,164.5,3770.46739130435,128.2449,47,58720,58673,2.21255756453591,3.92181367009636,1316.81084325852
163,63,ID07_Session03,1,41,7010.0243902439,13030.3328170999,250,3729.33333333333,370.65,0,47790,47790,1.96539959984116,2.62134510102209,2034.99609470705
164,64,ID07_Session04,1,85,6296.9294117647,11822.1045058542,438,3572.79710144928,533.736,63,55985,55922,2.23529462887787,4.70433440757254,1282.28727141748
165,65,ID07_Session05,1,6,5471.16666666667,8560.987406057,2320,5471.16666666667,3300.2676,63,22187,22124,1.11829318239249,-0.501101704375857,3495.00847320543
166,66,ID07_Session06,1,3,12682.3333333333,21804.5044505335,109,12682.3333333333,45.9606,78,37860,37782,0.384899304211018,-2.33333333333333,12588.8365140619
167,67,ID07_Session07,1,3,6146.33333333333,10495.9418983402,94,6146.33333333333,22.239,79,18266,18187,0.384899295077076,-2.33333333333333,6059.83488040539
168,68,ID07_Session08,1,49,2948.57142857143,8493.18018814704,125,939.90243902439,23.7216,78,45020,44942,3.84259752896654,14.7219578073672,1213.31145544958
169,69,ID07_Session09,1,23,11648.0869565217,15948.1976038133,4688,9349.57894736842,6858.5076,62,45812,45750,1.18958443516970,-0.130570096309533,3325.42907862558
170,70,ID07_Session10,1,24,3880.25,9441.97569252648,148.5,1540.65,69.6822,16,40063,40047,2.70061413468275,6.72217733274185,1927.33521753764
171,71,ID08_Session01,1,87,14570.2988505747,19802.2983204000,797,11849.2535211268,1043.7504,78,59955,59877,0.973533168774024,-0.722088442349569,2123.02922478982
172,72,ID08_Session02,1,30,15637.1666666667,21596.0156751247,1172,12316.5416666667,1598.9841,78,59423,59345,0.946057741579594,-0.831167865886905,3942.87497916698
173,73,ID08_Session03,1,89,14591.5168539326,19540.4388897116,828,11414.1643835616,1135.6716,62,59578,59516,1.09654045253018,-0.16439285542133,2071.28237974881
174,74,ID08_Session04,1,120,6840.46666666667,14042.4246278003,430,2925.65625,429.2127,15,59376,59361,2.6109470824305,5.91385167007531,1281.89212178538
175,75,ID08_Session05,1,97,11998.1855670103,17946.1502680762,907,8530.83544303797,1205.3538,78,59852,59774,1.38106654946912,0.559738100399388,1822.15548536029
176,76,ID08_Session06,1,121,10890.1983471074,18616.4713025947,157,6764.03092783505,117.1254,62,59359,59297,1.57311084855193,0.907673591794025,1692.40648205406
177,77,ID08_Session07,1,74,16579.5945945946,21274.2001758249,1250,13808.25,1691.6466,62,59532,59470,0.814820307790662,-0.987978154126383,2473.07553660298
178,78,ID08_Session08,1,82,15917.5731707317,21614.2880755555,789,12765.6060606061,1065.9894,62,59223,59161,0.973036373520192,-0.737788530144489,2386.89881720495
179,79,ID08_Session09,1,80,12659.2375,18561.5717158632,742.5,9321.34375,974.0682,63,57829,57766,1.19821315553259,-0.148561969140939,2075.24680629538
180,80,ID08_Session10,1,133,8654.12781954887,12861.8061178174,1250,6046.63551401869,1667.925,94,55503,55409,1.53120769617262,1.31915225106273,1115.26003108458
181,81,ID09_Session01,1,61,15668.5081967213,17479.5156012430,7453,13427.6938775510,10888.2144,78,58086,58008,0.75209654184022,-0.821557012037695,2238.02264032154
182,82,ID09_Session02,1,64,18704.140625,22050.0383830549,4633,16343.7884615385,6683.5608,78,59970,59892,0.662862856976443,-1.31716532288838,2756.25479788187
183,83,ID09_Session03,1,82,10355.6341463415,17471.5696797504,234,6240.60606060606,231.2856,31,59859,59828,1.68784602711585,1.54695602589092,1929.41210265786
184,84,ID09_Session04,1,70,15605.5571428571,17166.8633707338,8938.5,13544.2142857143,13078.0146,78,56517,56439,0.647561932706456,-0.98315711661467,2051.83262332357
185,85,ID09_Session05,1,66,19961.5303030303,22680.6053292029,7398.5,18005.5555555556,10807.4127,93,59064,58971,0.59111577050984,-1.37788763589228,2791.78952628539
186,86,ID09_Session06,1,128,3972.296875,10457.6212922573,187,1087.00961538462,69.6822,47,55516,55469,3.24639199956189,10.1874704779860,924.331866354497
187,87,ID09_Session07,1,93,9209.91397849462,14488.6722594013,234,6099.30666666667,209.0466,0,58453,58453,1.6131302774848,1.68209341712607,1502.40532537799
188,88,ID09_Session08,1,67,15889.9850746269,18322.6027647693,9969,13315.6,14616.9534,47,59454,59407,0.932334200191048,-0.345306972417722,2238.46219893317
189,89,ID09_Session09,1,67,12729.0597014925,17695.4523201461,1375,9521.8,1900.6932,15,59266,59251,1.28189372111412,0.468374180430541,2161.84357758574
190,90,ID09_Session10,1,66,17731.1212121212,21777.9433722182,2875,15348.1481481481,4158.693,62,59688,59626,0.724541571144456,-1.19877490610976,2680.67952014982
191,91,ID10_Session01,1,128,9930.046875,16236.7449274879,914.5,6203.60576923077,1286.1555,47,59750,59703,1.78572118504193,2.0271556826493,1435.13905532787
192,92,ID10_Session02,1,50,23974.26,21208.1572473654,19741.5,22941.95,29118.264,63,58234,58171,0.270937457683827,-1.55155497772306,2999.28636121655
193,93,ID10_Session03,1,66,20592.1515151515,20711.8716022719,14250,19058.9444444444,21022.5267,0,57905,57905,0.454322495823986,-1.39939917051964,2549.45515649615
194,94,ID10_Session04,1,59,16155.8305084746,18865.1446763716,7063,13676.9387755102,10355.961,62,59922,59860,1.01148803429359,-0.316155398372231,2456.03264091251
195,95,ID10_Session05,1,64,17827.640625,18842.9162550754,11524,15690.5384615385,16969.8396,46,59844,59798,0.646342193394338,-0.955443392414615,2355.36453188442
196,96,ID10_Session06,1,65,17936.2615384615,19999.5078355670,8453,15483.8867924528,12439.014,62,59470,59408,0.772895446734982,-0.793002320152865,2480.63364629934
197,97,ID10_Session07,1,71,16168.1971830986,18672.139080627,9140,13667.5614035088,13413.0822,62,59579,59517,0.813532376441233,-0.754312521098546,2215.97521801328
198,98,ID10_Session08,1,79,12984.4810126582,17603.9149388969,2937,10561.3076923077,4262.475,16,50360,50344,1.08525464943368,-0.463275902242922,1980.59517066838
